Initiator,Recipient,Type
lignerolles,soie,donnait
reine,vidamedechartres,dit
reine,vidamedechartres,regardait
reine,vidamedechartres,voyait
reine,vidamedechartres,vint
reine,vidamedechartres,vu
reine,vidamedechartres,donne
reine,vidamedechartres,donnait
monsieurdecleves,soie,dit
monsieurdecleves,soie,regardait
monsieurdecleves,soie,voyait
monsieurdecleves,soie,vint
monsieurdecleves,soie,vu
monsieurdecleves,soie,rougit
monsieurdecleves,soie,dansait
monsieurdecleves,soie,donne
monsieurdecleves,soie,donnait
sancerre,soie,dit
sancerre,soie,regardait
sancerre,soie,voyait
sancerre,soie,vint
sancerre,soie,vu
sancerre,soie,dansait
sancerre,soie,donne
sancerre,soie,donnait
estouteville,soie,dit
estouteville,soie,regardait
estouteville,soie,voyait
estouteville,soie,vint
estouteville,soie,vu
estouteville,soie,dansait
estouteville,soie,donne
estouteville,soie,donnait
ducdenemours,dauphine,dit
ducdenemours,dauphine,regardait
ducdenemours,dauphine,voyait
ducdenemours,dauphine,vint
ducdenemours,dauphine,vu
ducdenemours,dauphine,donne
ducdenemours,dauphine,donnait
lorraine,dauphine,dit
lorraine,dauphine,regardait
lorraine,dauphine,voyait
lorraine,dauphine,vint
lorraine,dauphine,vu
lorraine,dauphine,donne
lorraine,dauphine,donnait
chatelart,soie,dit
chatelart,soie,regardait
chatelart,soie,voyait
chatelart,soie,vint
chatelart,soie,vu
chatelart,soie,rougit
chatelart,soie,dansait
chatelart,soie,donne
chatelart,soie,donnait
dauphine,soie,dit
dauphine,soie,regardait
dauphine,soie,voyait
dauphine,soie,vint
dauphine,soie,vu
dauphine,soie,rougit
dauphine,soie,dansait
dauphine,soie,donne
dauphine,soie,donnait
espagnols,soie,dit
espagnols,soie,regardait
espagnols,soie,voyait
espagnols,soie,vint
espagnols,soie,vu
espagnols,soie,donne
espagnols,soie,donnait
princessedecleves,cour,dit
princessedecleves,cour,voyait
princessedecleves,cour,vint
princessedecleves,cour,vu
princessedecleves,cour,donne
princessedecleves,cour,donnait
marechal,soie,dit
marechal,soie,regardait
marechal,soie,voyait
marechal,soie,vint
marechal,soie,vu
marechal,soie,rougit
marechal,soie,dansait
marechal,soie,donne
marechal,soie,donnait
ferrare,soie,dit
ferrare,soie,regardait
ferrare,soie,voyait
ferrare,soie,vint
ferrare,soie,vu
ferrare,soie,donne
ferrare,soie,donnait
valentinois,soie,dit
valentinois,soie,regardait
valentinois,soie,voyait
valentinois,soie,vint
valentinois,soie,vu
valentinois,soie,rougit
valentinois,soie,dansait
valentinois,soie,donne
valentinois,soie,donnait
duchessedemercoeur,dauphine,dit
duchessedemercoeur,dauphine,regardait
duchessedemercoeur,dauphine,voyait
duchessedemercoeur,dauphine,vint
duchessedemercoeur,dauphine,vu
duchessedemercoeur,dauphine,donne
duchessedemercoeur,dauphine,donnait
